medal_date,medal_type,medal_code,name_x,gender_x,country_code_x,country_x,country_long_x,nationality_x,team,team_gender,discipline,event,event_type,url_event,birth_date_x,code_athlete,code_team,name_y,name_short,name_tv,gender_y,function,country_code_y,country_y,country_long_y,nationality_y,nationality_full,nationality_code,height,weight,disciplines,events,birth_date_y,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
2024-07-27,Gold Medal,1.0,EVENEPOEL Remco,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,2000-01-25,1903136,,EVENEPOEL Remco,EVENEPOEL R,Remco EVENEPOEL,Male,Athlete,BEL,Belgium,Belgium,Belgium,Belgium,BEL,0,0.0,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",2000-01-25,AALST,Belgium,ALICANTE,Spain,Aero Bullet. Given to him by teammate Yves Lampaert,,Athlete,,"Wife, Oumaima. Father, Patrick. Mother, Agna","Dutch, English",,He initially played football but decided to follow his father into cycling,"Cyclist Philippe Gilbert (BEL), three-time Olympian (2004, 2012, 2016), 2012 Road World Championships gold medallist.</p><p>Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze)",His parents,,"Father, Patrick (road cycling), winner of the 1993 Grand Prix de Wallonie and competed in the Vuelta a Espana the same year",,"He played football at youth international level and captained Belgium's U17s. He also played in the youth teams of Belgian club Anderlecht and Dutch side PSV Eindhoven. (allinfo.space, 25 Sep 2019; dw.com, 25 Sep 2019)"
2024-07-27,Silver Medal,2.0,GANNA Filippo,Male,ITA,Italy,Italy,Italy,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1996-07-25,1923520,,GANNA Filippo,GANNA F,Filippo GANNA,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,"['Cycling Road', 'Cycling Track']","[""Men's Individual Time Trial"", ""Men's Madison"", ""Men's Team Pursuit""]",1996-07-25,VERBANIA,Italy,ASCONA,Switzerland,Top Ganna,"Sports, animals, gaming, cooking, building Lego",Athlete,Studied Building Engineering and Architecture at Politecnico di Milano (ITA),"Fiancee, Carlotta Morino. Father, Marco. Mother, Daniela. Sister, Carlotta","English, Italian",Personal: Dario Cioni (ITA). <br>Personal (time trial): Daniel Bigham (GBR),"His grandparents gave him his first bike and from that moment onwards, it was difficult to take the bike away from him. ""Year after year that love between me and that two-wheeled vehicle has grown stronger and stronger."" (topganna.com, 2023)","Cyclist Fabian Cancellara (SUI), two-time Olympic champion (2008 and 2016 individual time trial) and 2008 silver medallist (road race). Four-time world time trial champion (2006, 2007, 2009, 2010) and three-time bronze medallist (2005, 2011, 2013)",,,"Father, Marco Ganna (canoe sprint), competed for Italy at the Los Angeles 1984 Olympic Games",,
2024-07-27,Bronze Medal,3.0,van AERT Wout,Male,BEL,Belgium,Belgium,Belgium,,,Cycling Road,Men's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--,1994-09-15,1903147,,van AERT Wout,van AERT W,Wout van AERT,Male,Athlete,BEL,Belgium,Belgium,Belgium,Belgium,BEL,0,0.0,['Cycling Road'],"[""Men's Road Race"", ""Men's Individual Time Trial""]",1994-09-15,HERENTALS,Belgium,HERENTALS,Belgium,,,Athlete,"Studied computer science at Thomas More University (Geel, BEL)","Wife, Sarah (married 2018). Son, Georges (2021). Son, Jerome (2023). Father, Henk. Mother, Ivonne. Older sister, Liese","Dutch, English, French",,His father was an amateur racer and he grew up in the Antwerp area of Belgium where there is a strong cycling tradition,,,"""The biggest thing is that I never limited myself - I've never thought that's impossible."" (redbull.com, 7 Jun 2023)",,,"Cyclo-cross: Won gold at the world championships in 2016, 2017, and 2018"
2024-07-27,Gold Medal,1.0,BROWN Grace,Female,AUS,Australia,Australia,Australia,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1992-07-07,1940173,,BROWN Grace,BROWN G,Grace BROWN,Female,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,0,0.0,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",1992-07-07,"CAMPERDOWN, VIC",Australia,,Italy,,,Athlete,"International Studies, Politics - University of Melbourne (AUS)","Husband, Elliot. Father, Tony. Mother, Ruth. Older brothers, Hamish and Duncan. Younger brother, Lachlan",English,,"Began her sports career as a runner, focusing on cross-country and middle-to-long distances on the track (ranging from 1500m to five kilometers). Although she competed at the national level, she did not go beyond Australia. Her physique wasn't well-suited for the sport, leading to a series of injuries, including stress fractures.</p><p>""After so many years of getting injured and recovering again I was fed up with it all. Some people had suggested I should ride a bike but I held that off. I did some commuting on a bike but that was it. But shortly after university I bought my first carbon bike. I joined a club in Melbourne and started riding criterium races."" (myInfo)",,,"""I am not afraid to fail while trying. I just get very excited and want to get the most out of myself. It's a disappointment if I feel like I couldn't get the most out of myself on a given day.""",,Often practises breathing and visualisation techniques ahead of a race,Athletics: Competed in cross-country running at the national level in Australia
2024-07-27,Silver Medal,2.0,HENDERSON Anna,Female,GBR,Great Britain,Great Britain,Great Britain,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1998-11-14,1912525,,HENDERSON Anna,HENDERSON A,Anna HENDERSON,Female,Athlete,GBR,Great Britain,Great Britain,Great Britain,Great Britain,GBR,0,0.0,['Cycling Road'],"[""Women's Road Race"", ""Women's Individual Time Trial""]",1998-11-14,HEMEL HEMPTSTEAD,Great Britain,,,,,Athlete,Graduated with a Bachelor's degree in Sport and Exercise Science at the University of Birmingham (GBR),"Father, John. Mother, Janet",English,,"She was a promising alpine skiing junior but, after fracturing her leg, took up cycling as part of her rehab. She grew passionate about her new sport and in 2016 quit skiing",,,,,,Alpine skiing: Was a junior British champion and represented Great Britain at the 2015 European Youth Olympic Festival in Liechtenstein
2024-07-27,Bronze Medal,3.0,DYGERT Chloe,Female,USA,United States,United States of America,United States,,,Cycling Road,Women's Individual Time Trial,ATH,/en/paris-2024/results/cycling-road/women-s-individual-time-trial/fnl-000100--,1997-01-01,1955079,,DYGERT Chloe,DYGERT C,Chloe DYGERT,Female,Athlete,USA,United States,United States of America,United States,United States of America,USA,0,0.0,"['Cycling Road', 'Cycling Track']","[""Women's Road Race"", ""Women's Individual Time Trial"", ""Women's Team Pursuit""]",1997-01-01,"BROWNSBURG, IN",United States,"COLORADO SPRINGS, CO",United States,"Chlo, Bug","Spending time with her cats, listening to music",Athlete,"Exercise Science at Marian University, Indianapolis (IN, USA)","Partner, Axel Merckx",English,Personal: Axel Merckx (BEL) - her partner,"Her favourite sport in high school was basketball but following an injury to her anterior cruciate ligament (ACL), she took up cycling as part of her recovery","Cyclist Kristin Armstrong (USA), three-time Olympic time trial champion (2008, 2012, 2016), four-time world championship medallist (two gold, one silver, one bronze).</p><p>Cyclist Ina Tuetenburg (GER), 2011 world championship road race bronze medallist.</p><p>Middle distance runner Steve Prefontaine (USA), 1972 Olympian (fourth in 5000m), 1971 Pan American Games 5000m champion. Likely the most legendary U.S. distance runner, not just for his feats on the track, but his manner of winning, and his early, tragic death at 24",,"Would never take back anything that's happened in her life as it's made her tough. “I don’t know how to explain it, but it’s made me a better person, not for any other reason than just the compassion and maybe sympathy I have for a person or someone else. My outlook on things. It’s made me such a better person on and off the bike. It’s all part of God’s plan. As much as I didn’t agree with it at the time, it was part of the plan.” (apnews.com, 31 Jul 2023)","Partner, Axel Merckx (cycling), 2004 Olympic road race bronze medallist representing Belgium. Former professional road cyclist, the son of five-time Tour de France champion Eddy Merckx",Listens to music ahead of her races,
2024-07-27,Gold Medal,1.0,OH Sanguk,Male,KOR,Korea,Republic of Korea,Korea,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1996-09-30,1927149,,OH Sanguk,OH S,OH Sanguk,Male,Athlete,KOR,Korea,Republic of Korea,Korea,Republic of Korea,KOR,0,0.0,['Fencing'],"[""Men's Sabre Individual"", ""Men's Sabre Team""]",1996-09-30,DAEJEON,Korea,DAEJEON,Korea,Monster (because of his height),Gaming,Athlete,Physical Education at Daejeon University (KOR),,Korean,National: Won Woo-Young (KOR),Was encouraged by his older brother. His parents initially did not want him to get involved in the sport but they were persuaded to let him pursue it after coach Park Jong-Han identified his talent,"Fencer Kim Jung-Hwan (KOR), four-time Olympic sabre medallist (two gold, two bronze), six-time world championship medallist (four gold, one silver, one bronze).</p><p>Fencer Gu Bon-Gil (KOR), two-time Olympic sabre team champion (2012, 2020), 10-time world championship medallist (four gold, four silver, two bronze)",Middle school coach Park Jong-Han,"""If somebody says fencing, I want to be the person that immediately comes to mind."" (sportschosun.com, 28 Apr 2021)","Brother, Oh Sang-Min (fencing), represented the Republic of Korea at the 2014 World Junior Championships",,
2024-07-27,Silver Medal,2.0,FERJANI Fares,Male,TUN,Tunisia,Tunisia,Tunisia,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000100--,1997-07-22,1937783,,FERJANI Fares,FERJANI F,Fares FERJANI,Male,Athlete,TUN,Tunisia,Tunisia,Tunisia,Tunisia,TUN,0,0.0,['Fencing'],"[""Men's Sabre Individual""]",1997-07-22,TUNIS,Tunisia,"NEW YORK, NY",United States,,,Athlete,"Graduated with a Bachelor's degree in Finance (2021) and a Master's degree in International Business (2022) from St. John's University (New York, NY, USA)","Father, Salah. Older brother, Mohamed Ayoub. Younger brother, Ahmed","Arabic, English, French",,"""Why do I like fencing? All my family is in fencing. It's like water to me."" (myInfo)","Fencer Aldo Montano (ITA), two-time Olympic sabre team silver medallist (1936, 1948), eight-time world championship medallist (five gold, three bronze), referee/official at six Olympic Games (1948, 1960, 1964, 1968, 1972, 1984)",,"""Our dreams can come true if we have the courage to pursue them."" (myInfo)","Brother, Mohamed Ayoub Ferjani (fencing), 2016 Olympian competing in individual foil.</p><p>Brother, Ahmed Ferjani (fencing), competed in sabre at several World Cups and at collegiate level for St. John's University. </p><p>Father, Salah Ferjani (fencing), has served as a referee at international level.</p><p>His mother, uncle, and cousin have all competed in the sport at an elite level",,
2024-07-27,Bronze Medal,3.0,SAMELE Luigi,Male,ITA,Italy,Italy,Italy,,,Fencing,Men's Sabre Individual,HATH,/en/paris-2024/results/fencing/men-s-sabre-individual/fnl-000200--,1987-07-25,1924595,,SAMELE Luigi,SAMELE L,Luigi SAMELE,Male,Athlete,ITA,Italy,Italy,Italy,Italy,ITA,0,0.0,['Fencing'],"[""Men's Sabre Individual"", ""Men's Sabre Team""]",1987-07-25,FOGGIA,Italy,BOLOGNA,Italy,Gigi,Playing the piano,Police athlete,,"Wife, Olga Kharlan. Son, Tymofiy","English, Italian",National: Nicola Zanotti (ITA),He followed his older brother into the sport,"Fencer Olga Kharlan (UKR), four-time Olympic medallist - one gold (2008 team sabre), one silver (2016 team sabre), two individual sabre bronze (2012, 2016). Fifteen-time world championship medallist (six gold, seven silver, two bronze).</p><p>Tennis player Rafael Nadal (ESP), winner of 22 Grand Slam singles titles (as of July 2023), including a record 14 French Open titles; two-time Olympic champion (2008 singles, 2016 doubles).</p><p>Tennis player Roger Federer (SUI), 20-time Grand Slam singles champion, 2008 Olympic doubles champion, 2012 Olympic singles silver medallist.</p><p>Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker",,"""Sport should be fun. This is the first thing. I have had too many friends in fencing who were phenomena, but due to excessive personal and family expectations they have not learned to lose. In sport, more than celebrating a victory, you have to understand how to recover from a defeat."" (myInfo)","Wife, Olga Kharlan (fencing), four-time Olympic medallist - one gold (2008 team sabre), one silver (2016 team sabre), two individual sabre bronze (2012, 2016). Fifteen-time world championship medallist (six gold, seven silver, two bronze). 2016 Olympic Games Closing Ceremony flagbearer",,
2024-07-27,Gold Medal,1.0,KONG Man Wai Vivian,Female,HKG,"Hong Kong, China","Hong Kong, China","Hong Kong, China",,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1994-02-08,1963262,,KONG Man Wai Vivian,KONG MWV,KONG Man Wai Vivian,Female,Athlete,HKG,"Hong Kong, China","Hong Kong, China","Hong Kong, China","Hong Kong, China",HKG,0,0.0,['Fencing'],"[""Women's Épée Individual""]",1994-02-08,"HONG KONG, CHINA","Hong Kong, China",,,"Vivian, Queen of Swords","Cooking, playing the piano, painting, yoga",Athlete,"International Relations at Stanford University (Palo Alto, CA, USA); Studied law at the Chinese University of Hong Kong","Father, KF Kong. Mother, Ellen","Cantonese, English, Mandarin","Zheng Kangzhao (CHN), Octavian Zidaru (ROU)","Tried a number of sports, including athletics (2012 400m high school champion), dancing, taekwondo (black belt), and figure skating, before finding fencing which was suggested to her by her father. ""Fencing is like the ballet of sports, it is very elegant and I really, really liked it."" (fie.org)","Fencer Ana Maria Popescu (ROU), three-time Olympic medallist (2016 team epee gold, 2008 and 2020 individual epee silver), seven-time world championship medallist (two gold, two silver, three bronze)",,,,,
